num_doms,type,domain_type,total_domains,perc_domains
125222,exclusive,CATH,162135.0,0.7723316988928979
2431,dominant,CATH,162135.0,0.014993678107749715
46,major,CATH,162135.0,0.00028371418879328956
34382,major_partner,CATH,162135.0,0.2120578530237148
37131,partner,CATH,162135.0,0.22901285965399204
3008,minor,CATH,162135.0,0.018552440867178586
121823,exclusive,Gene3D,144743.0,0.8416503734204763
731,dominant,Gene3D,144743.0,0.005050330585935071
14,major,Gene3D,144743.0,9.672315759656772e-05
26567,major_partner,Gene3D,144743.0,0.18354600913342958
24275,partner,Gene3D,144743.0,0.16771104647547722
1951,minor,Gene3D,144743.0,0.01347906289077883
34696,exclusive,SCOP,41288.0,0.840341019182329
423,dominant,SCOP,41288.0,0.010245107537298972
1,major,SCOP,41288.0,2.4220112381321448e-05
6932,major_partner,SCOP,41288.0,0.16789381902732028
7317,partner,SCOP,41288.0,0.17721856229412905
502,minor,SCOP,41288.0,0.012158496415423367
194339,exclusive,Pfam,225354.0,0.8623720901337452
1429,dominant,Pfam,225354.0,0.0063411343929994585
57,major,Pfam,225354.0,0.00025293538166617856
36096,major_partner,Pfam,225354.0,0.16017465853723475
35709,partner,Pfam,225354.0,0.15845736041960648
2112,minor,Pfam,225354.0,0.009371921510157352
150886,exclusive,Superfamily,168484.0,0.8955509128463237
1218,dominant,Superfamily,168484.0,0.0072291730965551625
38,major,Superfamily,168484.0,0.00022554070416181952
25746,major_partner,Superfamily,168484.0,0.15280976235132118
25726,partner,Superfamily,168484.0,0.15269105671755182
1553,minor,Superfamily,168484.0,0.009217492462192256
129274,exclusive,SCOP2-SF,,
829,dominant,SCOP2-SF,,
37,major,SCOP2-SF,,
22427,major_partner,SCOP2-SF,,
23224,partner,SCOP2-SF,,
1147,minor,SCOP2-SF,,
