,domain_interaction,count
20,3.40.50.720:major_partner-3.90.110.10:partner,920
28,3.50.50.60:major_partner-3.50.50.60:partner,783
33,3.40.309.10:partner-3.40.605.10:major_partner,696
35,3.40.50.720:major_partner-3.90.180.10:partner,651
47,3.40.50.300:major_partner-3.40.50.300:partner,503
52,1.10.1130.10:major_partner-1.20.140.10:partner,464
53,1.10.420.10:major_partner-1.10.520.10:partner,464
57,1.10.510.10:partner-3.30.200.20:major_partner,454
58,1.10.1130.10:major_partner-1.10.287.3080:partner,454
61,3.30.360.10:partner-3.40.50.720:major_partner,436
62,3.40.50.2000:major_partner-3.40.50.2000:partner,415
67,3.20.20.70:major_partner-3.20.20.70:partner,396
73,3.40.50.970:major_partner-3.40.50.970:partner,356
92,3.40.50.720:major_partner-3.40.50.720:partner,284
93,1.20.140.10:partner-1.20.140.10:partner-2.40.110.10:partner,274
94,3.20.20.120:major_partner-3.30.390.10:partner,267
95,2.60.130.10:major_partner-2.60.130.10:partner,265
97,3.40.50.1950:major_partner-3.40.50.1950:partner,259
98,3.30.70.270:partner-3.40.1170.60:major_partner,258
101,3.40.1190.20:major_partner-3.40.1190.20:partner,252
102,2.30.26.10:partner-3.20.20.70:major_partner,248
104,3.30.1130.10:major_partner-3.30.1130.10:partner,243
106,3.30.230.40:partner-3.30.230.40:partner-3.30.230.40:partner,240
113,1.10.1130.10:major_partner-1.10.1130.10:partner-1.20.140.10:partner,228
116,3.40.718.10:major_partner-3.40.718.10:partner,220
118,3.40.50.1370:major_partner-3.40.50.1370:partner,218
124,1.10.8.60:partner-3.40.50.300:major_partner,211
125,3.30.420.40:major_partner-3.30.420.40:partner,209
126,3.40.47.10:major_partner-3.40.47.10:partner,208
130,2.160.10.10:major_partner-2.160.10.10:partner,203
131,3.10.270.10:major_partner-3.10.270.10:partner,200
134,3.40.50.10860:major_partner-3.40.50.720:partner,193
136,2.40.30.10:major_partner-3.40.50.80:partner,190
137,2.70.40.10:major_partner-2.70.40.10:partner,189
140,3.40.109.10:major_partner-3.40.109.10:partner,185
143,3.30.1490.20:partner-3.30.470.20:major_partner,177
146,3.30.1360.170:major_partner-3.30.1360.170:partner-3.30.1360.170:partner,176
148,1.10.3210.10:major_partner-1.10.3210.10:partner,175
149,3.40.50.10860:partner-3.40.50.720:major_partner,174
156,3.30.210.10:partner-3.30.460.10:major_partner,168
159,1.20.140.10:partner-1.20.140.10:partner-2.40.110.10:major_partner,160
161,3.30.230.40:major_partner-3.30.230.40:partner,158
162,3.40.50.1480:partner-3.40.50.720:major_partner,157
163,3.30.70.270:major_partner-3.30.70.270:partner,156
169,3.40.50.960:major_partner-3.40.50.960:partner,151
173,3.30.1360.170:major_partner-3.30.1360.170:partner,147
176,3.10.129.10:major_partner-3.10.129.10:partner,145
184,3.40.50.720:partner-3.90.110.10:major_partner,137
185,1.20.120.550:major_partner-1.20.120.550:partner,136
187,3.20.20.110:major_partner-3.30.70.150:partner,134
191,3.30.420.40:partner-3.30.420.40:partner-3.90.640.10:partner,129
196,2.60.40.420:major_partner-2.60.40.420:partner,125
197,3.40.50.720:partner-3.90.25.10:major_partner,122
198,1.20.1050.10:partner-3.40.30.10:major_partner,122
202,3.40.640.10:major_partner-3.90.1150.10:partner,119
204,3.30.950.10:major_partner-3.40.1010.10:partner,119
207,3.30.420.40:major_partner-3.30.420.40:partner-3.90.640.10:partner,116
210,1.10.1130.10:partner-1.10.287.3080:major_partner,112
211,3.30.9.10:partner-3.50.50.60:major_partner,111
216,2.60.120.260:partner-3.20.20.80:major_partner,108
218,3.40.640.10:partner-3.90.1150.10:major_partner,107
219,3.30.420.10:major_partner-3.30.420.10:partner,106
223,2.40.30.90:major_partner-3.40.50.10790:partner,104
225,3.30.1490.20:major_partner-3.30.470.20:partner,103
226,3.30.43.10:partner-3.30.465.10:major_partner,102
229,1.10.510.10:major_partner-3.30.200.20:partner,101
232,3.50.50.60:major_partner-3.90.700.10:partner,98
235,3.40.640.10:major_partner-3.40.640.10:partner,97
236,3.40.50.10380:partner-3.40.50.720:major_partner,96
238,1.10.287.690:partner-3.90.1600.10:major_partner,94
244,3.40.50.360:major_partner-3.40.50.360:partner,90
249,1.20.120.420:partner-3.40.50.10470:major_partner,86
250,3.40.309.10:major_partner-3.40.605.10:partner,86
251,3.50.50.60:partner-3.90.660.10:major_partner,86
253,3.20.70.20:major_partner-3.20.70.20:partner,85
254,1.20.1200.10:major_partner-1.20.1200.10:partner,85
258,3.65.10.10:major_partner-3.65.10.10:partner,84
263,3.30.420.40:major_partner-3.40.367.20:partner,83
266,1.10.1040.10:partner-3.40.50.720:major_partner,82
268,3.30.9.10:major_partner-3.50.50.60:partner,81
276,1.10.1130.10:partner-1.20.140.10:major_partner,78
279,3.30.300.10:major_partner-3.30.300.10:partner,76
281,1.10.780.10:major_partner-1.20.850.10:partner,76
282,3.40.630.30:major_partner-3.40.630.30:partner,75
284,3.40.50.1400:major_partner-3.40.50.1400:partner,74
287,3.20.20.100:major_partner-3.20.20.100:partner,72
