contig,contrast,logFC,logCPM,LR,PValue,FDR,Accession,Fullname,Altnames,Pfam,GO,CellularComponent,Molecular.Function,Biological.Process
contig-60_5666287,binary.seasonlate.and.fall,-10.26981241,5.593494072,12.77627423,0.000351043,0.005804937,,,, , , , , 
contig-60_7130266,binary.seasonlate.and.fall,-10.23750896,5.654048471,13.92359924,0.000190393,0.003305575,A4WVK7,50S ribosomal protein L4 {ECO:0000255|HAMAP-Rule:MF_01328},, PF00573;, GO:0005840;GO:0019843;GO:0003735;GO:0006412;,  C:ribosome;,  F:rRNA binding; F:structural constituent of ribosome;,  P:translation;
contig-60_318032,binary.seasonlate.and.fall,-9.886947473,5.288377766,14.5059565,0.000139717,0.002490207,,,, , , , , 
contig-60_2361789,binary.seasonlate.and.fall,-9.590966841,5.649803898,10.11577775,0.001470054,0.020603322,Q15YB2,50S ribosomal protein L7/L12 {ECO:0000255|HAMAP-Rule:MF_00368},, PF00542;PF16320;, GO:0005840;GO:0003735;GO:0006412;,  C:ribosome;,  F:structural constituent of ribosome;,  P:translation;
contig-60_4608677,binary.seasonlate.and.fall,-9.557554587,5.079517655,9.662433132,0.001880744,0.025312252,,,, , , , , 
contig-60_5918136,binary.seasonlate.and.fall,-9.40626212,5.817345125,8.911051135,0.002834501,0.036192191,B7VKW7,"Fructose-1,6-bisphosphatase class 1 {ECO:0000255|HAMAP-Rule:MF_01855}","D-fructose-1,6-bisphosphate 1-phosphohydrolase class 1 {ECO:0000255|HAMAP-Rule:MF_01855};", PF00316;, GO:0005737;GO:0042132;GO:0000287;GO:0006094;,  C:cytoplasm;,"  F:fructose 1,6-bisphosphate 1-phosphatase activity; F:magnesium ion binding;",  P:gluconeogenesis;
contig-60_3251640,binary.seasonlate.and.fall,-9.322543137,5.493278226,9.012438169,0.002681485,0.03450653,B4RT43 F2GAJ7,50S ribosomal protein L6 {ECO:0000255|HAMAP-Rule:MF_01365},, PF00347;, GO:0005840;GO:0019843;GO:0003735;GO:0006412;,  C:ribosome;,  F:rRNA binding; F:structural constituent of ribosome;,  P:translation;
contig-60_446990,binary.seasonlate.and.fall,-9.300720008,5.08395149,10.03931662,0.00153234,0.021276679,B4RXK9 F2GA48,50S ribosomal protein L13 {ECO:0000255|HAMAP-Rule:MF_01366},, PF00572;, GO:0005840;GO:0003735;GO:0006412;,  C:ribosome;,  F:structural constituent of ribosome;,  P:translation;
contig-60_72706,binary.seasonlate.and.fall,-9.274411862,4.705113278,16.53515035,4.78E-05,0.000930388,P37529,Deoxyadenosine/deoxycytidine kinase,, PF01712;, GO:0005737;GO:0005524;GO:0004136;GO:0004137;GO:0019136;,  C:cytoplasm;,  F:ATP binding; F:deoxyadenosine kinase activity; F:deoxycytidine kinase activity; F:deoxynucleoside kinase activity;, 
contig-60_5683639,binary.seasonlate.and.fall,-9.265875319,5.344393399,8.69990639,0.003182264,0.039888744,,,, , , , , 
