queryid,geneid,C_RawCounts,T_RawCounts,C_Meantpm,T_Meantpm,Regulation,RealFC,PPDE,identity,evalue,bitscore,bitscore2,querylength,Alignment_vs_Q_SeqLength,subjectid,ID,subjectlength,Alignment_vs_S_SeqLength,subjectdescription,GO,PFAM,Panther,KEGG,KEGGec,KO,KOGAnnotation,taxon1,taxon2,taxon3,taxon4,taxon5,taxon6,Taxonomy,subjectid_2,taxon6_2,bitscore_2,bitscore2_2,keywords_2,subjectdescription_2,GO_2,PFAM_2,Panther_2,KEGG_2,KEGGec_2,KO_2,KOGAnnotation_2
Salix_HiSeq_c498587_g1_i1|m.1,Salix_HiSeq_c498587_g1,29,4,12.48,1.87,Control,0.15,1.00,70.91,7.00E-17,79,71,222,74.32,tr|E0XUL8|E0XUL8_9BACT,E0XUL8,100,55.00,Putative uncharacterized protein,0,0,0,0,0,0,0,Bacteria,Acidobacteria,Acidobacteria,Acidobacteria,Acidobacteria,Acidobacteria,Bacteria;Acidobacteria;Acidobacteria;Acidobacteria;Acidobacteria;Acidobacteria,tr|E0XUL8|E0XUL8_9BACT;tr|E0XW66|E0XW66_9BACT,,79;79,71;67,"[('Putative', 2), ('uncharacterized', 2)]",Putative uncharacterized protein;Putative uncharacterized protein,0,0,0,0,0,0,0
Salix_HiSeq_c556597_g1_i2|m.1,Salix_HiSeq_c556597_g1,33,21,5.67,3.18,Control,0.66,0.96,87.23,4.00E-17,81,85,418,33.73,tr|E0XW64|E0XW64_9BACT,E0XW64,61,77.05,Putative uncharacterized protein,0,0,0,0,0,0,0,Bacteria,Acidobacteria,Acidobacteria,Acidobacteria,Acidobacteria,Acidobacteria,Bacteria;Acidobacteria;Acidobacteria;Acidobacteria;Acidobacteria;Acidobacteria,tr|E0XW64|E0XW64_9BACT,,81,85,"[('Putative', 1), ('uncharacterized', 1)]",Putative uncharacterized protein,0,0,0,0,0,0,0
Salix_HiSeq_c576911_g1_i2|m.1,Salix_HiSeq_c576911_g1,4,92,0.34,6.24,Treatment,17.50,1.00,53.33,1.00E-17,85,45,658,41.03,tr|E0XUL8|E0XUL8_9BACT,E0XUL8,100,90.00,Putative uncharacterized protein,0,0,0,0,0,0,0,Bacteria,Acidobacteria,Acidobacteria,Acidobacteria,Acidobacteria,Acidobacteria,Bacteria;Acidobacteria;Acidobacteria;Acidobacteria;Acidobacteria;Acidobacteria,tr|E0XUL8|E0XUL8_9BACT;tr|A5Z301|A5Z301_9FIRM;tr|B0THV2|B0THV2_HELMI;tr|Q1MP77|Q1MP77_LAWIP,,85;64;79;72,45;39;37;36,"[('Uncharacterized', 3), ('Putative', 1), ('uncharacterized', 1)]",Putative uncharacterized protein;Uncharacterized protein;Uncharacterized protein,0,0,0,0;hmo:HM1_3125,0,0,0
Salix_HiSeq_c596271_g2_i2|m.1,Salix_HiSeq_c596271_g2,28,10,9.62,2.07,Control,0.20,0.97,63.16,5.00E-13,70,63,206,83.01,tr|E0XW66|E0XW66_9BACT,E0XW66,165,34.55,Putative uncharacterized protein,0,0,0,0,0,0,0,Bacteria,Acidobacteria,Acidobacteria,Acidobacteria,Acidobacteria,Acidobacteria,Bacteria;Acidobacteria;Acidobacteria;Acidobacteria;Acidobacteria;Acidobacteria,tr|E0XW66|E0XW66_9BACT;tr|B1QFQ5|B1QFQ5_CLOBO;tr|A6P1U5|A6P1U5_9FIRM;tr|E0XUL8|E0XUL8_9BACT,,70;58;56;63,63;56;54;53,"[('Uncharacterized', 2), ('Putative', 2), ('uncharacterized', 2)]",Putative uncharacterized protein;Uncharacterized protein;Putative uncharacterized protein,0,0,0,0,0,0,0
Salix_HiSeq_c601110_g2_i2|m.2,Salix_HiSeq_c601110_g2_i2,15,141,0.31,1.51,Treatment,9.70,0.99,99.66,0.00E+00,610,100,298,99.66,tr|E7C4H0|E7C4H0_9ACTN,E7C4H0,297,100.00,L-xylulose-5-phosphate 3-epimerase,GO:0016861;GO:0005975,PF01261;PF01261,0,0,0,0,0,Bacteria,Actinobacteria,marine Actinobacteria clade,Actinobacteria,marine Actinobacteria clade,environmental samples,Bacteria;Actinobacteria;marine Actinobacteria clade;environmental samples,tr|E7C4H0|E7C4H0_9ACTN;gi|466720|gb|AAB18559.1|;sp|P37679|SGBU_ECOLI,environmental samples;Escherichia coli str. K-12 substr. MG1655;Escherichia coli,610;610;588,100;100;96,"[('Putative', 2), ('3-epimerase', 2), ('product', 1), ('L-xylulose-5-phosphate', 1), ('L-ribulose-5-phosphate', 1)]",Putative L-xylulose-5-phosphate 3-epimerase;unnamed protein product [Escherichia coli str. K-12 substr. MG1655];Putative L-ribulose-5-phosphate 3-epimerase SgbU,GO:0016861;GO:0005975;0;GO:0016861;GO:0034015;GO:0019324,PF01261;PF01261;0;PF01261,0,0;ecj:JW5650;eco:b3582,0,0;K03082,0
Salix_HiSeq_c577451_g2_i1|m.1,Salix_HiSeq_c577451_g2,23,4,4.90,1.48,Control,0.36,1.00,62.03,1.00E-19,87,52,303,78.22,tr|A7B8Q3|A7B8Q3_9ACTO,A7B8Q3,89,88.76,Uncharacterized protein,0,0,0,0,0,0,0,Bacteria,Actinobacteria,Actinobacteridae,Actinomycineae,Actinomycetaceae,Actinomyces,Bacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Actinomycineae;Actinomycetaceae;Actinomyces,tr|A7B8Q3|A7B8Q3_9ACTO;tr|E0MU53|E0MU53_9CORY;tr|B5GPA2|B5GPA2_STRC2;tr|G5SMU9|G5SMU9_9BACT;tr|B5H5N2|B5H5N2_STRPR;tr|H9UDQ2|H9UDQ2_FERPD;tr|D5ZTV8|D5ZTV8_9ACTO;tr|B4V366|B4V366_9ACTO;tr|D6K5S6|D6K5S6_9ACTO;tr|D9VQ25|D9VQ25_9ACTO,,87;73;83;58;82;72;74;82;82;82,52;51;49;48;48;47;47;47;47;47,"[('uncharacterized', 6), ('Putative', 6), ('Uncharacterized', 4), ('(Fragment)', 1)]",Uncharacterized protein;Uncharacterized protein;Putative uncharacterized protein;Putative uncharacterized protein (Fragment);Putative uncharacterized protein,0,0,0,0;fpe:Ferpe_1585,0,0,0
Salix_HiSeq_c587004_g1_i3|m.1,Salix_HiSeq_c587004_g1_i3,137,11,12.94,0.54,Control,0.09,1.00,66.49,3.00E-87,269,68,220,87.27,tr|A0A067SN17|A0A067SN17_9AGAR,A0A067SN17,230,83.91,Uncharacterized protein,GO:0019028,PF03067;PF03067,0,0,0,0,0,Eukaryota,Fungi,Dikarya,Agaricales,Strophariaceae,Galerina,Eukaryota;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricomycetidae;Agaricales;Strophariaceae;Galerina,tr|A0A067SN17|A0A067SN17_9AGAR;gi|648158580|gb|KDR72320.1|,Galerina;Galerina marginata CBS 339.88,269;269,68;68,"[('marginata', 1), ('GALMADRAFT_253138', 1), ('Uncharacterized', 1), ('339.88]', 1), ('CBS', 1)]",Uncharacterized protein;hypothetical protein GALMADRAFT_253138 [Galerina marginata CBS 339.88],GO:0019028,PF03067;PF03067,0,0,0,0,0
Salix_HiSeq_c602175_g1_i1|m.10,Salix_HiSeq_c602175_g1_i1,9,73,0.11,0.52,Treatment,9.27,0.98,100,4.00E-43,148,100,131,58.02,gi|446184032|ref|WP_000261887.1|,446184032,76,100.00,hypothetical protein [Achromobacter sp.],0,0,0,0,0,0,0,Bacteria,Proteobacteria,Betaproteobacteria,Alcaligenaceae,Achromobacter,Achromobacter sp.,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter;Achromobacter sp.,gi|446184032|ref|WP_000261887.1|;tr|A0A0H3EF82|A0A0H3EF82_ECO8N,Achromobacter sp.;Escherichia coli,148;143,100;91,"[('sp.]', 1), ('[Achromobacter', 1), ('hypothetical', 1), ('Uncharacterized', 1)]",hypothetical protein [Achromobacter sp.];Uncharacterized protein,GO:0016021,0,0,eln:NRG857_00010,0,0,0
Salix_HiSeq_c568447_g1_i3|m.1,Salix_HiSeq_c568447_g1_i3,1,21,0.14,3.94,Treatment,28.55,1.00,72.64,1.00E-155,457,73,310,99.03,gi|655957701|ref|WP_029000482.1|,655957701,486,63.17,RNA polymerase sigma-54 factor [Azohydromonas australica],0,0,0,0,0,0,0,Bacteria,Proteobacteria,Betaproteobacteria,Alcaligenaceae,Azohydromonas,Azohydromonas australica,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Azohydromonas;Azohydromonas australica,gi|655957701|ref|WP_029000482.1|;tr|I0HS71|I0HS71_RUBGI,Azohydromonas australica;Rubrivivax,457;444,73;68,"[('sigma-54', 2), ('RNA', 2), ('polymerase', 2), ('factor', 2), ('[Azohydromonas', 1)]",RNA polymerase sigma-54 factor [Azohydromonas australica];RNA polymerase sigma-54 factor,GO:0003677;GO:0003899;GO:0016987;GO:0003700;GO:0006352,PF00309;PF04963;PF04552;PF04963,0,rge:RGE_25170,0,K03092,0
Salix_HiSeq_c554704_g2_i1|m.1,Salix_HiSeq_c554704_g2_i1,1,15,0.85,3.75,Treatment,7.00,0.99,86.02,1.00E-50,171,89,103,90.29,gi|655954838|ref|WP_028997729.1|,655954838,243,38.27,ubiquinone biosynthesis methyltransferase UbiE [Azohydromonas australica],0,0,0,0,0,0,0,Bacteria,Proteobacteria,Betaproteobacteria,Alcaligenaceae,Azohydromonas,Azohydromonas australica,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Azohydromonas;Azohydromonas australica,gi|655954838|ref|WP_028997729.1|;tr|F3LNZ9|F3LNZ9_9BURK,Azohydromonas australica;Rubrivivax,171;167,89;85,"[('biosynthesis', 2), ('UbiE', 2), ('ubiquinone', 1), ('methyltransferase', 1), ('[Azohydromonas', 1)]",ubiquinone biosynthesis methyltransferase UbiE [Azohydromonas australica];Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE,GO:0008425;GO:0009060;GO:0009234;GO:0006744,PF01209,0,0,0,0,0
