pdb_id,uniqueID,domain_accession,domain_ownership,domain_contact_perc,assembly_chain_id_ligand,assembly_chain_id_protein,bound_entity_pdb_residues,hetCode
5iw8,5iw8_bm3_E,5iw8:A:5iw8A01,major_partner,0.8333333333333334,A,A,403,PLP
5iw8,5iw8_bm3_E,5iw8:A:5iw8A02,partner,0.1666666666666666,A,A,403,PLP
6dep,6dep_bm1_B,6dep:A:6depA02,major_partner,0.8058252427184466,A,A,701,FAD
6dep,6dep_bm1_B,6dep:A:6depA03,partner,0.1941747572815534,A,A,701,FAD
6q94,6q94_bm3_O,6q94:D:6q94D01,major_partner,0.8297872340425532,D,D,401,NAP
6q94,6q94_bm3_O,6q94:F:6q94F01,partner,0.1702127659574468,D,F,401,NAP
1orw,1orw_bm15_MA,1orw:D:1orwD01,major_partner,0.8108108108108109,D,D,807,PHI
1orw,1orw_bm15_MA,1orw:D:1orwD02,partner,0.1891891891891892,D,D,807,PHI
1n95,1n95_bm2_D,1n95:A:1n95A00,partner,0.173076923076923,B,A,501,HFP
1n95,1n95_bm2_D,1n95:B:1n95B00,major_partner,0.8269230769230769,B,B,501,HFP
1v2p,1v2p_bm3_D,1v2p:T:1v2pT01,major_partner,0.8095238095238095,T,T,800,ANH
1v2p,1v2p_bm3_D,1v2p:T:1v2pT02,partner,0.1904761904761904,T,T,800,ANH
2o2q,2o2q_bm11_HA,2o2q:C:2o2qC01,major_partner,0.8285714285714286,C,C,903,NAP
2o2q,2o2q_bm11_HA,2o2q:C:2o2qC02,partner,0.1714285714285714,C,C,903,NAP
3g1u,3g1u_bm7_K,3g1u:D:3g1uD01,major_partner,0.8431372549019608,D,D,438,ADN
3g1u,3g1u_bm7_K,3g1u:D:3g1uD02,partner,0.1568627450980392,D,D,438,ADN
4hfm,4hfm_bm2_D,4hfm:B:4hfmB01,partner,0.1384615384615384,B,B,400,NAP
4hfm,4hfm_bm2_D,4hfm:B:4hfmB02,major_partner,0.8615384615384616,B,B,400,NAP
3hu2,3hu2_bm7_M,3hu2:D:3hu2D03,major_partner,0.8026315789473685,D,D,800,AGS
3hu2,3hu2_bm7_M,3hu2:D:3hu2D04,partner,0.1973684210526315,D,D,800,AGS
