group,queryid,geneid,C_RawCounts,T_RawCounts,C_Meantpm,T_Meantpm,regulation,FoldChange,subjectid,subjectdescription,taxon1,taxon2,taxon5,taxon6,subjectid_2,taxon6_2,bitscore_2,bitscore2_2,keywords_2,subjectdescription_2,FoldChange(log),FoldChange(EBSeq),PPDE,identity,evalue,bitscore,bitscore2,querylength,Alignment_vs_Q_SeqLength,ID,subjectlength,Alignment_vs_S_SeqLength,GO,PFAM,Panther,KEGG,KEGGec,KO,KOGAnnotation,taxon3,taxon4,Taxonomy,GO_2,PFAM_2,Panther_2,KEGG_2,KEGGec_2,KO_2,KOGAnnotation_2
PolyA_DEIso,Salix_HiSeq_c553133_g5_i1,Salix_HiSeq_c553133_g5,1,1785,0.14,301.42,Treatment,2128.20,tr|V2XCE3|V2XCE3_MONRO,Plasma membrane proteolipid 3,Eukaryota,Fungi,mitosporic Marasmiaceae,Moniliophthora,tr|V2XCE3|V2XCE3_MONRO;gi|630175943|ref|XP_007843695.1|;tr|D8PWY0|D8PWY0_SCHCM;gi|302691044|ref|XP_003035201.1|;gi|598016003|ref|XP_007338654.1|;gi|695538783|ref|XP_009542596.1|;tr|L8FXP5|L8FXP5_PSED2;gi|831351736|ref|XP_012745712.1|;gi|599115115|ref|XP_007385752.1|;tr|H0ED56|H0ED56_GLAL7,Moniliophthora;Moniliophthora roreri MCA 2997;Schizophyllum;Schizophyllum commune H4-8;Auricularia subglabra TFB-10046 SS5;Heterobasidion irregulare TC 32-1;Pseudogymnoascus;Pseudogymnoascus destructans 20631-21;Punctularia strigosozonata HHB-11173 SS5;Glarea,104;104;103;103;102;101;101;101;100;100,91;91;90;90;89;89;88;88;88;87,"[('proteolipid', 5), ('membrane', 5), ('Plasma', 3), ('Putative', 2), ('SS5]', 2)]",Plasma membrane proteolipid 3;plasma membrane proteolipid 3 [Moniliophthora roreri MCA 2997];Putative uncharacterized protein;hypothetical protein SCHCODRAFT_50913 [Schizophyllum commune H4-8];UPF0057-domain-containing protein [Auricularia subglabra TFB-10046 SS5];putative stress-induced hydrophobic peptide [Heterobasidion irregulare TC 32-1];Plasma membrane proteolipid 3;plasma membrane proteolipid 3 [Pseudogymnoascus destructans 20631-21];UPF0057-domain-containing protein [Punctularia strigosozonata HHB-11173 SS5];Putative Plasma membrane proteolipid 3,3.33,3527.86,1.00,87.72,2.00E-26,104,91,406,42.12,V2XCE3,57,100.00,GO:0016021,PF01679,PTHR21659,mrr:Moror_6441,0,0,0,Dikarya,Marasmiaceae,Eukaryota;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricomycetidae;Agaricales;Marasmiaceae;mitosporic Marasmiaceae;Moniliophthora,GO:0016021;0;GO:0016021;GO:0016021,PF01679;0;PF01679;PF01679,PTHR21659;0;PTHR21659;PTHR21659,mrr:Moror_6441;0;scm:SCHCODRAFT_50913,0,0,0
PolyA_DEIso,Salix_HiSeq_c589413_g1_i2,Salix_HiSeq_c589413_g1,1,919,0.19,296.54,Treatment,1540.39,gi|751022441|gb|KIK64145.1|,hypothetical protein GYMLUDRAFT_433712 [Gymnopus luxurians FD-317 M1],Eukaryota,Fungi,Gymnopus luxurians,Gymnopus luxurians FD-317 M1,gi|751022441|gb|KIK64145.1|;tr|B0DS73|B0DS73_LACBS;laccaria|B0DS73|B0DS73_LACBS;gi|170111156|ref|XP_001886782.1|;gi|752365279|gb|KIO23138.1|;gi|961963036|gb|KTB36838.1|;tr|E2M6L8|E2M6L8_MONPE;gi|215435687|gb|EEB86683.1|,Gymnopus luxurians FD-317 M1;Laccaria;Laccaria bicolor;Laccaria bicolor S238N-H82;Tulasnella calospora MUT 4182;Moniliophthora roreri;Moniliophthora;Moniliophthora perniciosa FA553,47;47;47;47;51;49;47;47,51;49;49;49;48;43;42;42,"[('hypothetical', 4), ('Predicted', 2), ('[Moniliophthora', 2), ('MUT', 1), ('WG66_10575', 1)]",hypothetical protein GYMLUDRAFT_433712 [Gymnopus luxurians FD-317 M1];Predicted protein;predicted protein [Laccaria bicolor S238N-H82];hypothetical protein M407DRAFT_27374 [Tulasnella calospora MUT 4182];hypothetical protein WG66_10575 [Moniliophthora roreri];Uncharacterized protein (Fragment);hypothetical protein MPER_16276 [Moniliophthora perniciosa FA553],3.19,2512.25,1.00,75,9.00E-05,47,51,235,61.28,751022441,70,68.57,0,0,0,0,0,0,0,Fungi,Gymnopus,Eukaryota;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricomycetidae;Agaricales;Omphalotaceae;Gymnopus;Gymnopus luxurians;Gymnopus luxurians FD-317 M1,GO:0016021;0,0,0,lbc:LACBIDRAFT_309389;0,0,0,0
PolyA_DEIso,Salix_HiSeq_c601571_g1_i1,Salix_HiSeq_c601571_g1,1,1272,0.33,275.43,Treatment,830.24,gi|751683823|gb|KIM33975.1|,hypothetical protein M408DRAFT_18942 [Serendipita vermifera MAFF 305830],Eukaryota,Fungi,Serendipita vermifera,Serendipita vermifera MAFF 305830,gi|751683823|gb|KIM33975.1|;tr|G4TCE1|G4TCE1_PIRID;gi|353237012|emb|CCA68995.1|,Serendipita vermifera MAFF 305830;Piriformospora;Piriformospora indica DSM 11827,96;92;92,87;82;82,"[('monosaccharide', 2), ('transporter', 2), ('11827]', 1), ('M408DRAFT_18942', 1), ('Probable', 1)]",hypothetical protein M408DRAFT_18942 [Serendipita vermifera MAFF 305830];Probable monosaccharide transporter;probable monosaccharide transporter [Piriformospora indica DSM 11827],2.92,1070.73,1.00,80.85,2.00E-20,96,87,317,44.48,751683823,536,8.77,0,0,0,0,0,0,0,Fungi,Serendipita,Eukaryota;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricomycetes incertae sedis;Sebacinales;Sebacinales group B;Serendipita;Serendipita vermifera;Serendipita vermifera MAFF 305830,GO:0016021;GO:0022891,PF00083,0,0,0,0,0
PolyA_DEIso,Salix_HiSeq_c601855_g5_i1,Salix_HiSeq_c601855_g5,1,1616,0.18,248.38,Treatment,1405.89,gi|749768324|gb|KII92756.1|,hypothetical protein PLICRDRAFT_37554 [Plicaturopsis crispa FD-325 SS-3],Eukaryota,Fungi,Plicaturopsis crispa,Plicaturopsis crispa FD-325 SS-3,gi|749768324|gb|KII92756.1|;gi|646393161|gb|KDQ57650.1|;gi|751695331|gb|KIM45311.1|;tr|B0D0Q6|B0D0Q6_LACBS;laccaria|B0D0Q6|B0D0Q6_LACBS;gi|170092359|ref|XP_001877401.1|;laccaria|A0A0C9YI44|A0A0C9YI44_9AGAR;tr|S7QCR9|S7QCR9_GLOTA;gi|750952097|gb|KIK09962.1|;gi|630349185|ref|XP_007863893.1|,Plicaturopsis crispa FD-325 SS-3;Jaapia argillacea MUCL 33604;Hebeloma cylindrosporum h7;Laccaria;Laccaria bicolor;Laccaria bicolor S238N-H82;Laccaria amethystina;Gloeophyllum;Laccaria amethystina LaAM-08-1;Gloeophyllum trabeum ATCC 11539,71;73;72;71;71;71;70;70;70;70,78;78;75;73;73;73;72;72;72;72,"[('hypothetical', 5), ('[Laccaria', 2), ('Predicted', 2), ('argillacea', 1), ('crispa', 1)]","hypothetical protein PLICRDRAFT_37554 [Plicaturopsis crispa FD-325 SS-3];hypothetical protein JAAARDRAFT_270990 [Jaapia argillacea MUCL 33604];hypothetical protein M413DRAFT_441993 [Hebeloma cylindrosporum h7];Predicted protein;predicted protein [Laccaria bicolor S238N-H82];Unplaced genomic scaffold K443scaffold_2, whole genome shotgun sequence;Uncharacterized protein;hypothetical protein K443DRAFT_306185 [Laccaria amethystina LaAM-08-1];hypothetical protein GLOTRDRAFT_37644 [Gloeophyllum trabeum ATCC 11539]",3.15,1814.14,1.00,67.44,2.00E-12,71,78,371,34.77,749768324,155,27.74,0,0,0,0,0,0,0,Fungi,Plicaturopsis,Eukaryota;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricomycetidae;Agaricales;Agaricales incertae sedis;Plicaturopsis;Plicaturopsis crispa;Plicaturopsis crispa FD-325 SS-3,0;GO:0016021,0,0,0;lbc:LACBIDRAFT_313742;gtr:GLOTRDRAFT_37644,0,0,0
PolyA_DEIso,Salix_HiSeq_c598626_g2_i3,Salix_HiSeq_c598626_g2,1,2990,0.05,207.93,Treatment,4187.43,gi|691794532|emb|CDO70514.1|,hypothetical protein BN946_scf184569.g57 [Trametes cinnabarina],Eukaryota,Fungi,Trametes,Trametes cinnabarina,gi|691794532|emb|CDO70514.1|;gi|636622647|ref|XP_008042458.1|;tr|B0CTR4|B0CTR4_LACBS;laccaria|B0CTR4|B0CTR4_LACBS;gi|170086598|ref|XP_001874522.1|;tr|R7SMJ3|R7SMJ3_DICSQ;gi|598005917|ref|XP_007369898.1|;laccaria|A0A0C9Y0A7|A0A0C9Y0A7_9AGAR;tr|R7SSJ4|R7SSJ4_DICSQ;tr|R7SVB4|R7SVB4_DICSQ,Trametes cinnabarina;Trametes versicolor FP-101664 SS1;Laccaria;Laccaria bicolor;Laccaria bicolor S238N-H82;Dichomitus;Dichomitus squalens LYAD-421 SS1;Laccaria amethystina;Dichomitus;Dichomitus,161;157;147;147;147;147;147;143;142;143,40;37;33;33;33;33;33;32;32;32,"[('hypothetical', 3), ('Uncharacterized', 3), ('SS1]', 2), ('Predicted', 2), ('[Trametes', 2)]","hypothetical protein BN946_scf184569.g57 [Trametes cinnabarina];hypothetical protein TRAVEDRAFT_131759 [Trametes versicolor FP-101664 SS1];Predicted protein;predicted protein [Laccaria bicolor S238N-H82];Uncharacterized protein;hypothetical protein DICSQDRAFT_163451 [Dichomitus squalens LYAD-421 SS1];Unplaced genomic scaffold K443scaffold_71, whole genome shotgun sequence;Uncharacterized protein",3.62,5326.25,1.00,44.5,1.00E-44,161,40,747,82.73,691794532,244,83.20,0,0,0,0,0,0,0,Fungi,Coriolaceae,Eukaryota;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricomycetes incertae sedis;Polyporales;Coriolaceae;Trametes;Trametes cinnabarina,0,0;PF11937;PF11937,0,0;lbc:LACBIDRAFT_305233;dsq:DICSQDRAFT_163451;dsq:DICSQDRAFT_129212;dsq:DICSQDRAFT_64658,0,0,0
PolyA_DEIso,Salix_HiSeq_c454584_g1_i1,Salix_HiSeq_c454584_g1,2,2443,0.37,207.61,Treatment,558.81,tr|S7PXL4|S7PXL4_GLOTA,Ubiquitin-conjugating enzyme,Eukaryota,Fungi,Gloeophyllaceae,Gloeophyllum,tr|S7PXL4|S7PXL4_GLOTA;tr|R7SUR1|R7SUR1_DICSQ;tr|K5X3X9|K5X3X9_PHACS;gi|597909476|ref|XP_007302037.1|;gi|597996917|ref|XP_007367508.1|;tr|M2R9L1|M2R9L1_CERS8;tr|S8FL38|S8FL38_FOMPI;tr|B0DBM3|B0DBM3_LACBS;laccaria|B0DBM3|B0DBM3_LACBS;tr|D8QH70|D8QH70_SCHCM,Gloeophyllum;Dichomitus;Phanerochaete;Stereum hirsutum FP-91666 SS1;Dichomitus squalens LYAD-421 SS1;Gelatoporia;Fomitopsis;Laccaria;Laccaria bicolor;Schizophyllum,303;303;303;303;303;303;303;302;302;301,99;99;99;99;99;99;99;98;98;98,"[('enzyme', 5), ('Uncharacterized', 3), ('Ubiquitin-conjugating', 3), ('ubiquitin-conjugating', 2), ('SS1]', 2)]",Ubiquitin-conjugating enzyme;Ubiquitin-conjugating enzyme;Uncharacterized protein;ubiquitin-conjugating enzyme E2 [Stereum hirsutum FP-91666 SS1];ubiquitin-conjugating enzyme [Dichomitus squalens LYAD-421 SS1];Predicted protein;Ubiquitin-conjugating enzyme E2,2.75,760.92,1.00,98.64,1.00E-101,303,99,710,62.11,S7PXL4,147,100.00,GO:0005524;GO:0016874,PF00179,0,gtr:GLOTRDRAFT_80505,0,K06689,0,Dikarya,Gloeophyllales,Eukaryota;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes;Gloeophyllales;Gloeophyllaceae;Gloeophyllum,GO:0005524;GO:0016874;GO:0005524;0;GO:0016874,PF00179;PF00179;0;PF00179,0,gtr:GLOTRDRAFT_80505;dsq:DICSQDRAFT_138257;pco:PHACADRAFT_251208;0;lbc:LACBIDRAFT_294356;scm:SCHCODRAFT_70582,0,K06689;K06689;0;K06689,0
PolyA_DEIso,Salix_HiSeq_c582074_g3_i3,Salix_HiSeq_c582074_g3,42,1710,11.93,200.32,Treatment,16.80,tr|R7S653|R7S653_TRAVS,Uncharacterized protein (Fragment),Eukaryota,Fungi,Trametes,Trametes,tr|R7S653|R7S653_TRAVS;gi|636629399|ref|XP_008045834.1|;tr|M2QWR3|M2QWR3_CERS8;gi|449538699|gb|EMD30280.1|,Trametes;Trametes versicolor FP-101664 SS1;Gelatoporia;Gelatoporia subvermispora B,96;96;105;105,81;81;73;73,"[('partial', 2), ('hypothetical', 2), ('Uncharacterized', 2), ('(Fragment)', 2), ('subvermispora', 1)]","Uncharacterized protein (Fragment);hypothetical protein TRAVEDRAFT_137643, partial [Trametes versicolor FP-101664 SS1];Uncharacterized protein (Fragment);hypothetical protein CERSUDRAFT_146047, partial [Gelatoporia subvermispora B]",1.23,25.38,1.00,85.19,6.00E-23,96,81,447,36.24,R7S653,62,87.10,0,0,0,0,0,0,0,Dikarya,Polyporales,Eukaryota;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes;Polyporales;Trametes;Trametes,0,0,0,0,0,0,0
PolyA_DEIso,Salix_HiSeq_c578200_g4_i2,Salix_HiSeq_c578200_g4,6,1694,0.89,191.26,Treatment,215.76,sp|O94739|CALM_PLEOS,Calmodulin,Eukaryota,Fungi,Pleurotus,Pleurotus,sp|O94739|CALM_PLEOS;gi|20137620|sp|O94739.3|CALM_PLEOS;tr|R7S4C2|R7S4C2_PUNST;sp|P11120|CALM_PLECO;gi|122063214|sp|P11120.2|CALM_PLECO;gi|599121744|ref|XP_007388040.1|;gi|751731840|gb|KIM80147.1|;gi|751693705|gb|KIM43688.1|;tr|A8NMQ1|A8NMQ1_COPC7;tr|B0D6G4|B0D6G4_LACBS,Pleurotus;Pleurotus ostreatus;Punctularia;Pleurotus;Pleurotus cornucopiae;Punctularia strigosozonata HHB-11173 SS5;Piloderma croceum F 1598;Hebeloma cylindrosporum h7;Coprinopsis;Laccaria,296;296;295;295;295;295;295;294;293;293,99;99;98;98;98;98;98;98;97;97,"[('Calmodulin', 4), ('Short=CaM', 2), ('hypothetical', 2), ('Full=Calmodulin', 2), ('RecName:', 2)]",Calmodulin;RecName: Full=Calmodulin;Short=CaM;Calmodulin;calmodulin [Punctularia strigosozonata HHB-11173 SS5];hypothetical protein PILCRDRAFT_822664 [Piloderma croceum F 1598];hypothetical protein M413DRAFT_443596 [Hebeloma cylindrosporum h7];Predicted protein,2.33,289.85,1.00,97.99,2.00E-101,296,99,595,75.13,O94739,149,100.00,GO:0005509,PF13499,0,0,0,0,0,Dikarya,Pleurotaceae,Eukaryota;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricomycetidae;Agaricales;Pleurotaceae;Pleurotus;Pleurotus,GO:0005509;0;GO:0005509;GO:0005509,PF13499;0;PF13499;PF13499,0,0;psq:PUNSTDRAFT_146315;cci:CC1G_11477;lbc:LACBIDRAFT_318312,0,0;K02183;K02183,0
PolyA_DEIso,Salix_HiSeq_c583460_g1_i1,Salix_HiSeq_c583460_g1,2,1107,0.75,184.69,Treatment,245.42,tr|F8P1M4|F8P1M4_SERL9,Histone H4 (Fragment),Eukaryota,Fungi,Serpulaceae,Serpula,tr|F8P1M4|F8P1M4_SERL9;tr|R7S2Y0|R7S2Y0_PUNST;tr|F8Q2Q0|F8Q2Q0_SERL3;gi|599123014|ref|XP_007388675.1|;gi|597931898|ref|XP_007320293.1|;gi|691791465|emb|CDO73081.1|;tr|A8NA29|A8NA29_COPC7;tr|B0DIG0|B0DIG0_LACBS;tr|B8PD36|B8PD36_POSPM;tr|F8NG34|F8NG34_SERL9,Serpula;Punctularia;Serpula;Punctularia strigosozonata HHB-11173 SS5;Serpula lacrymans var. lacrymans S7.9;Trametes cinnabarina;Coprinopsis;Laccaria;Postia;Serpula,171;171;171;171;171;171;170;170;170;170,100;100;100;100;100;100;99;99;99;99,"[('Histone', 7), ('(Fragment)', 3), ('hypothetical', 2), ('lacrymans', 2), ('SERLADRAFT_471727', 1)]","Histone H4 (Fragment);Histone H4 (Fragment);HIST2H4B protein, partial [Punctularia strigosozonata HHB-11173 SS5];hypothetical protein SERLADRAFT_471727 [Serpula lacrymans var. lacrymans S7.9];hypothetical protein BN946_scf185007.g135 [Trametes cinnabarina];Histone H4;Histone H4",2.39,310.10,1.00,100,2.00E-51,171,100,425,60.71,F8P1M4,125,68.80,GO:0000786;GO:0005634;GO:0003677,0,0,sla:SERLADRAFT_471727,0,K11254,0,Dikarya,Coniophorineae,Eukaryota;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricomycetidae;Boletales;Coniophorineae;Serpulaceae;Serpula,GO:0000786;GO:0005634;GO:0003677;GO:0000786;GO:0006334;0;GO:0006334,0,0,sla:SERLADRAFT_471727;psq:PUNSTDRAFT_93289;0;cci:CC1G_05458;cci:CC1G_05756;cci:CC1G_05765;lbc:LACBIDRAFT_191132;lbc:LACBIDRAFT_191150;lbc:LACBIDRAFT_291419;lbc:LACBIDRAFT_306722;ppl:POSPLDRAFT_90613;sla:SERLADRAFT_353681;sla:SERLADRAFT_477211;sla:SERLADRAFT_477230,0,K11254;K11254;0;K11254,0
PolyA_DEIso,Salix_HiSeq_c561570_g2_i2,Salix_HiSeq_c561570_g2,1,1406,0.15,171.14,Treatment,1148.49,gi|618811371|ref|XP_007308369.1|,hypothetical protein STEHIDRAFT_114166 [Stereum hirsutum FP-91666 SS1],Eukaryota,Fungi,Stereum hirsutum,Stereum hirsutum FP-91666 SS1,gi|618811371|ref|XP_007308369.1|;gi|628837093|ref|XP_007768850.1|;gi|646393179|gb|KDQ57668.1|,Stereum hirsutum FP-91666 SS1;Coniophora puteana RWD-64-598 SS2;Jaapia argillacea MUCL 33604,102;95;95,64;56;56,"[('hypothetical', 2), ('and', 1), ('argillacea', 1), ('hirsutum', 1), ('[Coniophora', 1)]",hypothetical protein STEHIDRAFT_114166 [Stereum hirsutum FP-91666 SS1];mismatched base pair and cruciform DNA recognition protein [Coniophora puteana RWD-64-598 SS2];hypothetical protein JAAARDRAFT_35357 [Jaapia argillacea MUCL 33604],3.06,2036.88,1.00,62.96,8.00E-25,102,64,464,52.37,618811371,102,79.41,0,0,0,0,0,0,0,Fungi,Stereum,Eukaryota;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricomycetes incertae sedis;Russulales;Stereaceae;Stereum;Stereum hirsutum;Stereum hirsutum FP-91666 SS1,0,0,0,0,0,0,0
