group,queryid,geneid,C_RawCounts,T_RawCounts,C_Meantpm,T_Meantpm,regulation,FoldChange,subjectid,subjectdescription,taxon1,taxon2,taxon5,taxon6,subjectid_2,taxon6_2,bitscore_2,bitscore2_2,keywords_2,subjectdescription_2,FoldChange(log),FoldChange(EBSeq),PPDE,identity,evalue,bitscore,bitscore2,querylength,Alignment_vs_Q_SeqLength,ID,subjectlength,Alignment_vs_S_SeqLength,GO,PFAM,Panther,KEGG,KEGGec,KO,KOGAnnotation,taxon3,taxon4,Taxonomy,GO_2,PFAM_2,Panther_2,KEGG_2,KEGGec_2,KO_2,KOGAnnotation_2
PolyA_DEIso,Salix_HiSeq_c600230_g5_i1,Salix_HiSeq_c600230_g5,220,1522,45.82,216.95,Treatment,4.74,SapurV1A.0071s0410.1.p,UDP-glucose:flavonoid 7-O-glucosyltransferase,Eukaryota,Viridiplantae,Salix,Salix purpurea,SapurV1A.0071s0410.1.p,Salix purpurea,79,100,"[('UDP-glucose:flavonoid', 1), ('7-O-glucosyltransferase', 1)]",UDP-glucose:flavonoid 7-O-glucosyltransferase,0.68,4.69,1.00,100,2.00E-17,79,100,360,30.83,0,432,8.56,GO:0008152;GO:0016758,PF00201,PTHR11926:SF15,0,2.4.1.121,K13692,KOG1192,Streptophyta,Saliceae,Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliophyta;Mesangiospermae;Eudicotyledons;Gunneridae;Pentapetalae;rosids;fabi ds;Malpighiales;Salicaceae;Saliceae;Salix;Salix purpurea,GO:0008152;GO:0016758,PF00201,PTHR11926:SF15,0,2.4.1.121,K13692,KOG1192
PolyA_DEIso,Salix_HiSeq_c575842_g1_i1,Salix_HiSeq_c575842_g1,665,2478,68.21,169.57,Treatment,2.49,SapurV1A.0332s0050.1.p,hypothetical protein,Eukaryota,Viridiplantae,Salix,Salix purpurea,SapurV1A.0332s0050.1.p,Salix purpurea,43,100,"[('hypothetical', 1)]",hypothetical protein,0.40,2.42,1.00,100,7.00E-05,43,100,765,8.63,0,161,13.66,0,0,0,0,0,0,0,Streptophyta,Saliceae,Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliophyta;Mesangiospermae;Eudicotyledons;Gunneridae;Pentapetalae;rosids;fabi ds;Malpighiales;Salicaceae;Saliceae;Salix;Salix purpurea,0,0,0,0,0,0,0
PolyA_DEIso,Salix_HiSeq_c483320_g1_i2,Salix_HiSeq_c483320_g1,763,2375,56.54,125.11,Treatment,2.21,SapurV1A.0888s0080.1.p,plasma membrane intrinsic protein PIP1-1,Eukaryota,Viridiplantae,Salix,Salix purpurea,SapurV1A.0888s0080.1.p;tr|B9HHL9|B9HHL9_POPTR;Potri.008G065600.1;Potri.008G065600.6;Potri.008G065600.7;tr|B8Y643|B8Y643_9ROSI;tr|C7E4R5|C7E4R5_9ROSI;gi|224101113|ref|XP_002312147.1|;gi|219523020|gb|ACL14797.1|;gi|255045889|gb|ACU00101.1|,Salix purpurea;Populus trichocarpa;Populus trichocarpa;Populus trichocarpa;Populus trichocarpa;Populus trichocarpa;Populus trichocarpa;Populus trichocarpa;Populus alba x Populus glandulosa;Populus trichocarpa x Populus deltoides,197;197;197;197;197;197;197;197;197;197,100;100;100;100;100;100;100;100;100;100,"[('membrane', 10), ('intrinsic', 10), ('plasma', 7), ('BAD14372,', 3), ('(4of5)', 3)]","plasma membrane intrinsic protein PIP1-1;Plasma membrane intrinsic protein 1-1;similar to plasma membrane intrinsic protein 1-1. [ORG:Pyrus communis];[ co-ortholog (4of5) of BAD14371, BAD14372, BAB40142, AAV41024, CAA06745, ];Plasma membrane intrinsic protein 1;Plasma membrane intrinsic protein PIP1.5;plasma membrane intrinsic protein 1-1 [Populus trichocarpa];plasma membrane intrinsic protein 1 [Populus alba x Populus glandulosa];plasma membrane intrinsic protein PIP1.5 [Populus trichocarpa x Populus deltoides]",0.34,2.37,1.00,100,8.00E-60,197,100,1025,28.68,0,288,34.03,GO:0005215;GO:0006810;GO:0016020,PF00230,PTHR19139:SF55,0,0,K09872,KOG0223,Streptophyta,Saliceae,Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliophyta;Mesangiospermae;Eudicotyledons;Gunneridae;Pentapetalae;rosids;fabi ds;Malpighiales;Salicaceae;Saliceae;Salix;Salix purpurea,GO:0005215;GO:0006810;GO:0016020;GO:0016021;GO:0005215;0,PF00230;PF00230;0,PTHR19139:SF55;PTHR19139;PTHR19139:SF55;AQUAPORIN PIP1-5-RELATED (PTHR19139:SF90);0,pop:POPTR_0008s06580g;0,0,K09872;K09872;0,KOG0223;0;KOG0223
PolyA_DEIso,Salix_HiSeq_c594413_g1_i3,Salix_HiSeq_c594413_g1,37,521,11.56,124.80,Treatment,10.79,SapurV1A.0027s0200.1.p,cinnamyl alcohol dehydrogenase-like protein,Eukaryota,Viridiplantae,Salix,Salix purpurea,SapurV1A.0027s0200.1.p,Salix purpurea,76,96,"[('cinnamyl', 1), ('dehydrogenase-like', 1), ('alcohol', 1)]",cinnamyl alcohol dehydrogenase-like protein,1.03,11.49,1.00,97.37,2.00E-17,76,96,231,49.35,0,361,10.53,GO:0008270;GO:0016491;GO:0055114,PF00107;PF08240,PTHR11695:SF285,0,0,0,KOG0023,Streptophyta,Saliceae,Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliophyta;Mesangiospermae;Eudicotyledons;Gunneridae;Pentapetalae;rosids;fabi ds;Malpighiales;Salicaceae;Saliceae;Salix;Salix purpurea,GO:0008270;GO:0016491;GO:0055114,PF00107;PF08240,PTHR11695:SF285,0,0,0,KOG0023
PolyA_DEIso,Salix_HiSeq_c476964_g1_i1,Salix_HiSeq_c476964_g1,36,492,10.02,97.85,Treatment,9.77,SapurV1A.0003s0850.1.p,"calcium-binding protein with EF-hand protein, putative",Eukaryota,Viridiplantae,Salix,Salix purpurea,SapurV1A.0003s0850.1.p;gi|743827892|ref|XP_011023139.1|;tr|U5GLL9|U5GLL9_POPTR;Potri.002G174900.1;gi|566158548|ref|XP_006386633.1|,Salix purpurea;Populus euphratica;Populus trichocarpa;Populus trichocarpa;Populus trichocarpa,159;161;161;161;161,99;94;94;94;94,"[('calcium-binding', 2), ('[Populus', 2), ('PREDICTED:', 1), ('putative', 1), ('Uncharacterized', 1)]","calcium-binding protein with EF-hand protein, putative;PREDICTED: calcium-binding protein KIC [Populus euphratica];Uncharacterized protein;NoDescription;hypothetical protein POPTR_0002s17550g [Populus trichocarpa]",0.99,12.24,1.00,100,2.00E-50,159,99,259,90.35,0,126,61.90,0,0,PTHR10891:SF148,0,0,0,KOG0028,Streptophyta,Saliceae,Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliophyta;Mesangiospermae;Eudicotyledons;Gunneridae;Pentapetalae;rosids;fabi ds;Malpighiales;Salicaceae;Saliceae;Salix;Salix purpurea,0;GO:0005509,0,PTHR10891:SF148;0;PTHR10891:SF148;CALCIUM-BINDING PROTEIN KIC (PTHR10891:SF624),0;pop:POPTR_0002s17550g,0,0,KOG0028;0;KOG0028
PolyA_DEIso,Salix_HiSeq_c600230_g5_i2,Salix_HiSeq_c600230_g5,54,355,17.73,90.71,Treatment,5.12,SapurV1A.0071s0410.1.p,UDP-glucose:flavonoid 7-O-glucosyltransferase,Eukaryota,Viridiplantae,Salix,Salix purpurea,SapurV1A.0071s0410.1.p,Salix purpurea,77,100,"[('UDP-glucose:flavonoid', 1), ('7-O-glucosyltransferase', 1)]",UDP-glucose:flavonoid 7-O-glucosyltransferase,0.71,5.63,1.00,100,1.00E-17,77,100,236,47.03,0,432,8.56,GO:0008152;GO:0016758,PF00201,PTHR11926:SF15,0,2.4.1.121,K13692,KOG1192,Streptophyta,Saliceae,Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliophyta;Mesangiospermae;Eudicotyledons;Gunneridae;Pentapetalae;rosids;fabi ds;Malpighiales;Salicaceae;Saliceae;Salix;Salix purpurea,GO:0008152;GO:0016758,PF00201,PTHR11926:SF15,0,2.4.1.121,K13692,KOG1192
PolyA_DEIso,Salix_HiSeq_c589371_g5_i4,Salix_HiSeq_c589371_g5,498,1762,33.37,88.10,Treatment,2.64,SapurV1A.0061s0040.1.p,plasma membrane intrinsic protein PIP1-1,Eukaryota,Viridiplantae,Salix,Salix purpurea,SapurV1A.0061s0040.1.p;Potri.010G191900.1;Potri.010G191900.3;tr|A9PFE8|A9PFE8_POPTR;gi|224109360|ref|XP_002315171.1|,Salix purpurea;Populus trichocarpa;Populus trichocarpa;Populus trichocarpa;Populus trichocarpa,588;561;561;560;560,100;91;91;91;91,"[('NoDescription', 2), ('POPTR_0010s19930g', 1), ('Uncharacterized', 1), ('[Populus', 1), ('PIP1-1', 1)]",plasma membrane intrinsic protein PIP1-1;NoDescription;Uncharacterized protein;hypothetical protein POPTR_0010s19930g [Populus trichocarpa],0.42,2.76,1.00,100,0,588,100,1105,78.19,0,288,100.00,GO:0005215;GO:0006810;GO:0016020,PF00230,PTHR19139:SF55,0,0,K09872,KOG0223,Streptophyta,Saliceae,Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliophyta;Mesangiospermae;Eudicotyledons;Gunneridae;Pentapetalae;rosids;fabi ds;Malpighiales;Salicaceae;Saliceae;Salix;Salix purpurea,GO:0005215;GO:0006810;GO:0016020;GO:0005215;GO:0016021,PF00230;PF00230,PTHR19139:SF55;PTHR19139:SF55;PTHR19139;AQUAPORIN PIP1-5-RELATED (PTHR19139:SF90),0;pop:POPTR_0010s19930g,0,K09872;K09872,KOG0223;KOG0223;0
PolyA_DEIso,Salix_HiSeq_c581313_g1_i1,Salix_HiSeq_c581313_g1,1650,4638,39.99,85.31,Treatment,2.13,SapurV1A.0008s0930.1.p,"tyrosine phosphatase-like protein PTPLB protein, putative",Eukaryota,Viridiplantae,Salix,Salix purpurea,SapurV1A.0008s0930.1.p;SapurV1A.0008s0920.1.p;gi|743912813|ref|XP_011000302.1|;Potri.001G235400.1;Potri.001G235400.2;Potri.001G235400.3;Potri.001G235400.4;tr|B9GES5|B9GES5_POPTR;gi|224054853|ref|XP_002298376.1|,Salix purpurea;Salix purpurea;Populus euphratica;Populus trichocarpa;Populus trichocarpa;Populus trichocarpa;Populus trichocarpa;Populus trichocarpa;Populus trichocarpa,450;464;429;427;427;427;427;426;426,97;94;88;87;87;87;87;87;87,"[('Arabidopsis', 4), ('expressed', 4), ('ortholog', 4), ('At5g59770,]', 4), ('thaliana', 4)]","tyrosine phosphatase-like protein PTPLB protein, putative;aquaporin TIP1;PREDICTED: very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 2 [Populus euphratica];similar to expressed protein in Arabidopsis thaliana;[ ortholog of At5g59770,];Uncharacterized protein;hypothetical protein POPTR_0001s24210g [Populus trichocarpa]",0.33,2.14,1.00,100,6.00E-151,450,97,2879,22.92,0,220,100.00,0,PF04387,PTHR11035:SF3,0,0,0,KOG3187,Streptophyta,Saliceae,Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliophyta;Mesangiospermae;Eudicotyledons;Gunneridae;Pentapetalae;rosids;fabi ds;Malpighiales;Salicaceae;Saliceae;Salix;Salix purpurea,GO:0005215;GO:0006810;GO:0016020;0;GO:0016021,PF04387;PF00230;0;PF04387,PTHR11035:SF3;PTHR19139:SF54;0;PTHR11035:SF3;PTHR11035;PROTEIN R10E4.9 (PTHR11035:SF23),0;pop:POPTR_0001s24210g,0,K09873;0;K10703,KOG3187;KOG0223;0;KOG3187
PolyA_DEIso,Salix_HiSeq_c599604_g6_i1,Salix_HiSeq_c599604_g6,77,363,25.56,79.73,Treatment,3.12,SapurV1A.0112s0250.1.p,plasma membrane intrinsic protein PIP2.2,Eukaryota,Viridiplantae,Salix,Salix purpurea,SapurV1A.0112s0250.1.p,Salix purpurea,76,100,"[('PIP2.2', 1), ('intrinsic', 1), ('plasma', 1), ('membrane', 1)]",plasma membrane intrinsic protein PIP2.2,0.49,3.58,0.98,100,1.00E-17,76,100,250,45.60,0,286,13.29,GO:0005215;GO:0006810;GO:0016020,PF00230,PTHR19139:SF27,0,0,K09872,KOG0223,Streptophyta,Saliceae,Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliophyta;Mesangiospermae;Eudicotyledons;Gunneridae;Pentapetalae;rosids;fabi ds;Malpighiales;Salicaceae;Saliceae;Salix;Salix purpurea,GO:0005215;GO:0006810;GO:0016020,PF00230,PTHR19139:SF27,0,0,K09872,KOG0223
PolyA_DEIso,Salix_HiSeq_c601551_g1_i2,Salix_HiSeq_c601551_g1,24,485,4.62,71.94,Treatment,15.59,SapurV1A.0564s0010.1.p,dehydrin protein,Eukaryota,Viridiplantae,Salix,Salix purpurea,SapurV1A.0564s0010.1.p,Salix purpurea,124,58,"[('dehydrin', 1)]",dehydrin protein,1.19,24.35,1.00,100,3.00E-36,124,58,420,82.86,0,116,100.00,GO:0006950;GO:0009415,PF00257,0,0,0,0,0,Streptophyta,Saliceae,Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliophyta;Mesangiospermae;Eudicotyledons;Gunneridae;Pentapetalae;rosids;fabi ds;Malpighiales;Salicaceae;Saliceae;Salix;Salix purpurea,GO:0006950;GO:0009415,PF00257,0,0,0,0,0
